Image#., Detector_Type, Descriptor_Type, Keypoints, Keypoints(Proceeding Vehical), (Detector)Elapsed_Time, (Descriptor)Elapsed_Time, Matches, MATCHER ELAPSED TIME
3, FAST, BRISK, 1817, 155, 1.1081, 2.13532, 101, 0.982914
4, FAST, BRISK, 1793, 149, 1.108, 2.01324, 98, 0.929633
5, FAST, BRISK, 1796, 149, 1.1243, 1.90474, 85, 1.00313
6, FAST, BRISK, 1788, 156, 1.12062, 1.91016, 107, 0.994617
7, FAST, BRISK, 1695, 150, 1.11548, 1.9458, 107, 1.1125
8, FAST, BRISK, 1749, 138, 1.1303, 1.85434, 100, 0.94182
9, FAST, BRISK, 1770, 143, 1.1334, 1.89393, 100, 0.931007

0, FAST, BRIEF, 1824, 149, 1.17124, 1.0254, 0, 0
1, FAST, BRIEF, 1832, 152, 1.13405, 1.02891, 119, 0.846026
2, FAST, BRIEF, 1810, 150, 1.18954, 1.10034, 130, 0.86698
3, FAST, BRIEF, 1817, 155, 1.15343, 1.04684, 118, 0.87665
4, FAST, BRIEF, 1793, 149, 1.10398, 0.995295, 126, 0.841663
5, FAST, BRIEF, 1796, 149, 1.20736, 1.04851, 108, 0.857232
6, FAST, BRIEF, 1788, 156, 1.16406, 1.0739, 123, 0.856124
7, FAST, BRIEF, 1695, 150, 1.15607, 1.08223, 131, 0.862139
8, FAST, BRIEF, 1749, 138, 1.12456, 1.09228, 125, 0.858287
9, FAST, BRIEF, 1770, 143, 1.12797, 0.994957, 119, 0.800823

0, FAST, ORB, 1824, 149, 1.17319, 1.23291, 0, 0
1, FAST, ORB, 1832, 152, 1.16361, 1.39275, 118, 0.863731
2, FAST, ORB, 1810, 150, 1.09504, 1.2836, 123, 0.8707
3, FAST, ORB, 1817, 155, 1.21632, 1.27781, 112, 0.855179
4, FAST, ORB, 1793, 149, 1.12416, 1.25948, 126, 0.892489
5, FAST, ORB, 1796, 149, 1.17481, 1.22121, 106, 0.84392
6, FAST, ORB, 1788, 156, 1.14816, 1.28592, 122, 0.881532
7, FAST, ORB, 1695, 150, 1.17637, 1.30948, 122, 0.843045
